auction_ending,buying_format,country,currency,details,extra_fields,img_url,item_category,item_main_category,item_main_category_id,item_source_category_id,item_source_sub_category_id,item_sub_category,item_title,item_url,location,make,model,price,price_original,serial_number,source_item_id,state,thumbnail_s3_path,thumbnail_url,vendor_address,vendor_address2,vendor_categories,vendor_city,vendor_comments,vendor_contact,vendor_contact2,vendor_contact2_designation,vendor_contact_designation,vendor_contact_url,vendor_country,vendor_email,vendor_email1,vendor_email2,vendor_email3,vendor_facebook,vendor_fax,vendor_linkedin,vendor_location,vendor_logo_url,vendor_manufacturers,vendor_name,vendor_phone,vendor_phone2,vendor_services,vendor_skype,vendor_state,vendor_twitter,vendor_url,vendor_website,vendor_zipcode,year
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_477.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_808.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_909.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_141.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_856.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_433.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_373.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_315.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_246.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135078/41135078_1615871534_788.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 336FL,https://www.machineryzone.com/used/crawler-excavator/41135078/caterpillar-336fl.html,USA,Caterpillar,336FL,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/304706/41135078/41135078_1615871534_477.jpg,,,,,,,,,,,,,,,,,,,USA,,,CATERPILLAR FINANCIAL SERVICES CORPORATION,,,,,,,,,,2016
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_28.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_975.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_757.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_776.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_906.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_640.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_345.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_326.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_359.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135077/41135077_1615871529_416.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 336FL,https://www.machineryzone.com/used/crawler-excavator/41135077/caterpillar-336fl.html,USA,Caterpillar,336FL,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/304706/41135077/41135077_1615871529_28.jpg,,,,,,,,,,,,,,,,,,,USA,,,CATERPILLAR FINANCIAL SERVICES CORPORATION,,,,,,,,,,2018
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_568.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_389.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_609.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_120.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_865.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_303.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_49.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_158.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_641.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135075/41135075_1615871463_733.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 336FL,https://www.machineryzone.com/used/crawler-excavator/41135075/caterpillar-336fl.html,USA,Caterpillar,336FL,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/304706/41135075/41135075_1615871463_568.jpg,,,,,,,,,,,,,,,,,,,USA,,,CATERPILLAR FINANCIAL SERVICES CORPORATION,,,,,,,,,,2016
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_95.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_822.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_809.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_290.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_852.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_48.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_537.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_977.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_369.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/304706/41135082/41135082_1615871879_639.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 336FL,https://www.machineryzone.com/used/crawler-excavator/41135082/caterpillar-336fl.html,USA,Caterpillar,336FL,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/304706/41135082/41135082_1615871879_95.jpg,,,,,,,,,,,,,,,,,,,USA,,,CATERPILLAR FINANCIAL SERVICES CORPORATION,,,,,,,,,,2017
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/367419/41135468/41135468_1616828360_578.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/367419/41135468/41135468_1616828360_787.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/367419/41135468/41135468_1616828360_850.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/367419/41135468/41135468_1616828360_200.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/367419/41135468/41135468_1616828360_334.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/367419/41135468/41135468_1616828360_918.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/367419/41135468/41135468_1616828360_185.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/367419/41135468/41135468_1616828360_833.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/367419/41135468/41135468_1616828360_386.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/367419/41135468/41135468_1616828360_257.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 325F LCR P,https://www.machineryzone.com/used/crawler-excavator/41135468/caterpillar-325f-lcr-p.html,USA,Caterpillar,325F LCR P,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/367419/41135468/41135468_1616394817_174.jpg,,,,,,,,,,,,,,,,,,,USA,,,EMPIRE MACHINERY CO,,,,,,,,,,2019
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/365557/41135080/41135080_1615871612_542.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/365557/41135080/41135080_1615871612_952.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/365557/41135080/41135080_1615871612_121.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/365557/41135080/41135080_1615871612_212.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/365557/41135080/41135080_1615871612_228.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/365557/41135080/41135080_1615871612_242.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/365557/41135080/41135080_1615871612_485.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/365557/41135080/41135080_1615871612_208.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/365557/41135080/41135080_1615871612_35.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 310,https://www.machineryzone.com/used/crawler-excavator/41135080/caterpillar-310.html,USA,Caterpillar,310,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/365557/41135080/41135080_1615871612_542.jpg,,,,,,,,,,,,,,,,,,,USA,,,N C MACHINERY,,,,,,,,,,2019
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/369026/41134742/41134742_1615852895_878.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/369026/41134742/41134742_1615852895_369.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/369026/41134742/41134742_1615852895_396.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/369026/41134742/41134742_1615852895_231.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Kobelco SK300 LC-10,https://www.machineryzone.com/new/crawler-excavator/41134742/kobelco-sk300-lc-10.html,USA,Kobelco,SK300 LC-10,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/369026/41134742/41134742_1615852895_878.jpg,,,,,,,,,,,,,,,,,,,USA,,,Company Wrench,,,,,,,,,,2021
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/381368/41135117/41135117_1615873405_141.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/381368/41135117/41135117_1615873405_727.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/381368/41135117/41135117_1615873405_871.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/381368/41135117/41135117_1615873405_127.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/381368/41135117/41135117_1615873405_66.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/381368/41135117/41135117_1615873405_401.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/381368/41135117/41135117_1615873405_343.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/381368/41135117/41135117_1615873405_905.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/381368/41135117/41135117_1615873405_879.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 323FL TC,https://www.machineryzone.com/used/crawler-excavator/41135117/caterpillar-323fl-tc.html,USA,Caterpillar,323FL TC,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/381368/41135117/41135117_1615873405_141.jpg,,,,,,,,,,,,,,,,,,,USA,,,WARREN CAT,,,,,,,,,,2016
,sale,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366116/41135095/41135095_1615872297_570.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366116/41135095/41135095_1615872297_987.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366116/41135095/41135095_1615872297_440.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366116/41135095/41135095_1615872297_333.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366116/41135095/41135095_1615872297_977.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366116/41135095/41135095_1615872297_857.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366116/41135095/41135095_1615872297_513.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366116/41135095/41135095_1615872297_772.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/366116/41135095/41135095_1615872297_12.jpg",Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 323FL TC,https://www.machineryzone.com/used/crawler-excavator/41135095/caterpillar-323fl-tc.html,USA,Caterpillar,323FL TC,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/366116/41135095/41135095_1615872297_570.jpg,,,,,,,,,,,,,,,,,,,USA,,,WARREN CAT,,,,,,,,,,2016
,sale,USA,,,,,Excavators,Construction Equipment,Construction Equipment,Excavators,Crawler Excavators,Crawler Excavators,Caterpillar 307E,https://www.machineryzone.com/used/crawler-excavator/41135131/caterpillar-307e.html,USA,Caterpillar,307E,,,,,,,nan,,,,,,,,,,,,,,,,,,,USA,,,YANCEY BROS. CO.,,,,,,,,,,2016
